,NAMA_KEC,NAMA_KEL,PNS,DOSEN,GURU,GURU/DOSEN,TANI,POLRI,BURUH_HARIAN_LEPAS,BURUH_TANI_PERKEBUNAN,BURUH_NELAYAN_PERIKANAN,BURUH_PETERNAKAN,BURUH,PEDAGANG,PEDAGANG,PEDAGANG,TNI,MAHASISWA,NELAYAN,SWASTA,PELAJAR,BELUM KERJA,PENSIUN,ANGGOTA_DPR_RI,ANGGOTA_DPD,ANGGOTA_BPK,PRESIDEN,WAKIL_PRESIDEN,ANGGOTA_MAHKAMAH_KONSTITUSI,ANGGOTA_KABINET_KEMENTERIAN,DUTA_BESAR,GUBERNUR,WAKIL_GUBERNUR,BUPATI,WAKIL_BUPATI,WALIKOTA,WAKIL_WALIKOTA,ANGGOTA_DPRD_PROVINSI,ANGGOTA_DPRD_KABUPATEN_KOTA,PTN,IRT,WIRASWASTA,TUKANG_CUKUR,TUKANG_LISTRIK,TUKANG_BATU,TUKANG_KAYU,TUKANG_SOL_SEPATU,TUKANG_LAS_PANDAI_BESI,TUKANG_JAHIT,TUKANG_GIGI,TUKANG,LAIN2NYA,DOKTER,FAKIR
1,KARANG PILANG,KARANGPILANG,85,8,73,81,1,15,97,0,0,0,97,43,38,81,576,494,1,2194,1974,2209,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,379,1,0,2,0,0,1,3,0,7,3,8,0
,,KEBRAON,752,83,430,513,16,89,22,4,0,0,26,36,24,60,229,1500,0,9260,6000,5781,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4759,1139,0,0,4,1,0,1,2,0,8,14,56,0
,,KEDURUS,735,67,385,452,10,88,50,2,0,0,52,42,55,97,172,1311,0,7850,5243,5823,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4501,1136,0,0,25,4,2,6,5,0,42,9,41,0
,,WARUGUNUNG,48,3,62,65,9,6,30,3,0,0,33,7,16,23,45,392,0,2639,1567,2279,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,337,0,2,5,0,0,0,0,0,7,4,2,0
2,WONOCOLO,SIDOSERMO,333,57,148,205,8,15,17,1,0,0,18,23,46,69,44,715,0,3304,2859,3309,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2263,1060,0,1,10,1,0,6,3,0,21,30,61,0
,,BENDUL MERISI,438,69,143,212,7,18,50,5,0,0,55,34,99,133,71,891,0,4326,3563,3624,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,1306,3,3,23,2,0,3,7,0,41,18,78,0
,,MARGOREJO,318,29,101,130,2,51,9,0,0,0,9,1,14,15,47,649,0,3443,2594,2248,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,614,0,0,3,0,0,0,1,0,4,12,46,0
,,JEMUR WONOSARI,621,80,295,375,4,79,34,2,0,0,36,20,45,65,71,1210,0,6296,4841,4616,326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4373,976,0,0,7,3,1,0,1,0,12,21,123,0
,,SIWALANKERTO,473,42,165,207,4,43,42,2,1,0,45,14,35,49,65,906,0,4942,3625,3695,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972,952,0,2,15,1,0,3,5,0,26,22,37,0
3,RUNGKUT,KALIRUNGKUT,543,123,228,351,5,26,30,2,0,0,32,37,50,87,53,1225,0,7166,4898,4634,390,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3699,1509,1,0,22,0,0,3,4,0,30,23,88,0
,,RUNGKUT KIDUL,278,72,131,203,2,20,12,1,0,0,13,7,23,30,36,704,0,4045,2814,2614,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2379,906,0,1,2,0,0,0,1,0,4,30,73,0
,,KEDUNG BARUK,287,72,160,232,5,18,15,2,0,0,17,15,29,44,25,897,0,5337,3589,3084,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699,823,0,1,9,4,0,1,12,0,27,8,58,0
,,PENJARINGAN SARI,592,105,198,303,17,26,61,6,0,0,67,23,24,47,30,1035,1,5751,4141,3670,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858,926,1,2,27,1,0,0,6,0,37,12,71,0
,,WONOREJO,298,119,142,261,12,26,16,3,4,0,23,8,25,33,20,970,5,5010,3879,3120,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2467,1041,0,1,9,0,0,0,2,0,12,21,50,0
,,MEDOKAN AYU,679,204,319,523,50,42,21,15,7,0,43,40,65,105,51,1389,18,7441,5556,5384,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3790,1386,0,1,17,10,0,6,6,0,40,31,66,0
4,WONOKROMO,WONOKROMO,823,58,536,594,28,68,41,0,0,0,41,46,235,281,147,2145,2,12673,8581,9115,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7234,2669,0,2,4,1,2,0,4,0,13,76,55,0
,,JAGIR,548,36,291,327,5,25,19,0,0,0,19,15,110,125,122,1171,0,6364,4682,4651,237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3851,1295,0,0,3,1,0,0,0,0,4,23,50,0
,,NGAGEL,145,14,72,86,11,31,13,1,0,0,14,18,48,66,12,625,1,3762,2500,2800,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2449,944,0,0,0,0,0,0,1,0,1,43,15,0
,,NGAGELREJO,1050,87,530,617,18,68,114,1,0,0,115,20,141,161,138,2063,1,13943,8250,10120,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7681,2070,0,0,8,1,0,4,2,0,15,101,72,0
,,DARMO,344,56,132,188,5,21,8,2,0,0,10,10,41,51,81,807,1,5221,3227,3215,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2820,814,0,0,0,0,0,0,0,0,0,24,82,0
,,SAWUNGGALING,748,27,217,244,9,48,25,3,0,1,29,25,77,102,986,1474,0,7998,5897,5839,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5204,1145,1,0,1,2,0,0,4,0,8,19,49,0
5,TEGALSARI,TEGALSARI,167,29,59,88,1,29,13,0,0,0,13,22,44,66,38,1000,0,6406,4000,3390,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,753,0,0,5,0,0,1,1,0,7,0,18,0
,,DR. SUTOMO,254,22,120,142,0,23,19,0,1,0,20,43,74,117,46,889,3,5856,3556,2802,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3830,794,0,0,10,0,1,2,3,0,16,3,114,0
,,KEDUNGDORO,252,22,117,139,2,17,58,1,0,0,59,75,76,151,48,1308,0,8099,5232,4129,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5237,1239,2,6,21,5,11,4,46,0,95,1,24,0
,,KEPUTRAN,208,24,112,136,0,20,16,5,0,1,22,47,74,121,26,895,1,5522,3579,2588,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3225,872,1,3,8,1,1,0,12,0,26,11,34,0
,,WONOREJO,248,16,143,159,3,34,29,0,0,0,29,57,66,123,57,1466,0,9843,5863,4728,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6161,841,0,0,6,2,0,0,8,0,16,4,20,0
6,SAWAHAN,PETEMON,671,45,321,366,6,49,50,0,0,0,50,12,118,130,79,1550,0,11981,6201,9960,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7473,1517,0,2,13,2,1,1,1,1,21,111,59,0
,,SAWAHAN,266,15,108,123,5,16,20,0,0,0,20,6,99,105,22,691,1,6003,2763,5942,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4193,917,0,0,1,0,0,2,1,0,4,98,44,0
,,BANYU URIP,472,46,268,314,8,47,54,0,0,0,54,12,134,146,159,1316,0,12562,5264,12835,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,1361,1,0,4,3,0,0,1,0,9,112,25,0
,,PUTAT JAYA,493,18,273,291,15,58,215,3,0,0,218,11,264,275,161,1521,1,11408,6084,15420,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9313,3440,0,0,1,4,0,0,5,0,10,187,22,0
,,KUPANG KRAJAN,298,16,192,208,3,28,33,0,0,0,33,9,89,98,58,977,0,7790,3906,6814,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891,1163,0,0,1,0,0,0,0,0,1,92,17,0
,,PAKIS,842,43,300,343,1,74,85,1,0,0,86,5,141,146,170,1437,0,11697,5749,10306,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6961,1737,0,0,5,1,0,0,2,0,8,101,53,0
7,GENTENG,EMBONG KALIASIN,132,4,59,63,1,13,9,0,0,0,9,7,72,79,25,630,0,3855,2520,2783,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2573,1048,0,1,4,1,0,0,3,0,9,6,16,0
,,GENTENG,89,12,38,50,0,2,0,1,0,0,1,3,37,40,11,428,0,2881,1712,1513,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703,411,0,0,0,0,0,0,2,0,2,5,5,0
,,KAPASARI,129,6,88,94,6,3,44,1,0,0,45,2,46,48,13,828,1,5510,3310,3579,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3577,903,0,2,10,3,3,2,15,0,35,13,16,0
,,KETABANG,124,14,45,59,2,5,0,1,0,0,1,6,19,25,14,373,0,2351,1491,1299,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1452,608,0,0,0,0,0,0,0,0,0,1,77,0
,,PENELEH,149,25,113,138,2,10,12,0,0,0,12,9,48,57,11,700,0,4856,2798,3102,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2939,829,0,0,2,0,0,0,3,0,5,16,31,0
8,GUBENG,GUBENG,334,32,128,160,8,17,19,0,0,0,19,7,39,46,28,734,0,5005,2937,2977,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2621,767,0,2,2,0,1,0,0,0,5,44,33,0
