id_pendidikan,id_kelurahan,paud_lk,tk_lk,sd_lk,smp_lk,sma_lk,d1_d2_lk,d3_lk,s1_lk,s2_lk,s3_lk,paud_pr,tk_pr,sd_pr,smp_pr,sma_pr,d1_d2_pr,d3_pr,s1_pr,s2_pr,s3_pr,update
1,1,949,893,420,401,559,755,630,610,2091,1643,38,43,52,79,263,280,13,15,0,1,2017-11-30
2,2,2630,2383,1197,1158,1236,1676,1434,1627,5091,5002,233,243,306,357,2363,2189,192,108,16,8,2017-11-30
3,3,2587,2436,1111,1182,1166,1634,1577,1743,4609,4298,151,190,215,271,1893,1819,146,115,5,5,2017-11-30
4,4,928,925,395,395,772,984,692,673,1571,1231,26,35,21,38,144,181,5,3,1,0,2017-11-30
5,5,1442,1336,571,536,607,800,878,893,2162,2061,85,88,110,115,1017,967,113,72,12,6,2017-11-30
6,6,1543,1474,742,748,995,1358,1014,1084,2629,2483,93,85,154,217,1342,1220,127,75,7,5,2017-11-30
7,7,984,901,480,446,462,688,674,743,2089,1988,79,84,110,117,886,859,78,57,2,0,2017-11-30
8,8,2018,1840,905,835,1085,1560,1325,1483,3623,3457,130,136,164,227,1975,1884,185,122,24,8,2017-11-30
9,9,1564,1531,819,753,753,988,990,1177,3104,2964,104,106,161,183,1123,1043,137,75,7,1,2017-11-30
10,10,2111,1929,908,809,892,1281,1393,1625,3869,3610,112,128,204,229,2117,2107,209,141,26,17,2017-11-30
11,11,1223,1103,526,447,536,785,648,879,2217,2100,72,63,149,143,1300,1296,152,107,17,10,2017-11-30
12,12,1401,1272,625,584,965,1289,1005,1103,2728,2467,74,100,111,137,1240,1241,94,51,11,2,2017-11-30
13,13,1674,1599,753,780,913,1104,977,1176,2831,2826,77,95,201,215,1739,1684,178,124,22,12,2017-11-30
14,14,1479,1348,745,685,700,906,811,884,2269,2306,78,107,165,222,1807,1741,157,105,21,5,2017-11-30
15,15,2481,2334,1054,1104,1199,1490,1255,1445,3842,3695,110,124,241,315,2303,2177,253,162,21,13,2017-11-30
16,16,3725,3653,1861,1799,2139,3219,2584,3045,8041,7366,169,162,225,269,2256,2231,117,97,6,1,2017-11-30
17,17,1895,1848,1074,876,1025,1472,1348,1562,4039,3892,134,138,116,131,1426,1270,94,92,8,2,2017-11-30
18,18,1152,1171,541,537,989,1355,957,1005,2208,1965,22,18,55,57,454,417,19,19,3,1,2017-11-30
19,19,4471,4165,1667,1504,1978,2919,2538,2912,8115,7626,216,234,259,360,2907,2926,195,117,6,3,2017-11-30
20,20,1354,1261,619,521,689,1024,865,1006,2949,2991,102,110,141,191,1260,1181,80,66,5,2,2017-11-30
21,21,2375,2216,1257,1173,1259,1895,1769,2050,5804,5318,159,171,212,268,1445,1406,94,70,4,2,2017-11-30
22,22,1648,1526,864,855,1362,1821,1382,1497,3578,3182,43,34,127,121,486,486,36,19,2,2,2017-11-30
23,23,1234,1206,715,588,816,1298,1064,1246,3401,3269,42,66,145,148,1193,1221,100,46,7,1,2017-11-30
24,24,1838,1754,1228,1086,1062,1599,1579,1863,5538,5008,110,133,220,225,890,876,45,34,7,1,2017-11-30
25,25,1087,1062,721,658,739,1121,1132,1171,3415,3202,45,64,135,150,949,868,63,48,4,2,2017-11-30
26,26,2228,2055,1282,1170,1523,2158,2017,2194,5788,5401,76,66,123,132,1054,996,41,40,2,1,2017-11-30
27,27,4378,4048,1037,997,2050,2809,2451,2865,6792,6665,100,116,254,306,1966,1874,170,125,4,4,2017-11-30
28,28,2622,2363,366,356,1338,1690,1368,1535,3427,3274,42,54,92,111,944,898,70,55,2,1,2017-11-30
29,29,5775,5542,891,821,3472,4607,2864,3074,6577,5606,80,61,165,209,1112,1081,70,50,2,0,2017-11-30
30,30,6900,6609,1104,1138,4685,6030,3296,3416,6570,5572,50,57,148,185,998,886,69,56,4,0,2017-11-30
31,31,3140,3003,650,661,1803,2411,1649,1945,4333,3919,47,33,123,153,784,829,40,42,4,0,2017-11-30
32,32,4729,4400,957,880,2383,3357,2357,2558,6235,5902,70,102,257,292,2187,1974,134,97,5,1,2017-11-30
33,33,1173,1120,536,566,1030,1346,944,1006,2305,1938,44,31,64,85,505,521,32,19,5,1,2017-11-30
34,34,614,628,329,335,395,563,578,727,1695,1598,18,17,47,48,429,461,16,13,2,0,2017-11-30
35,35,1515,1441,764,774,1581,1977,1335,1351,2727,2453,45,53,56,81,631,646,24,12,1,0,2017-11-30
36,36,567,510,286,269,305,473,442,514,1293,1315,16,36,34,40,731,702,59,28,1,0,2017-11-30
37,37,1275,1260,570,549,954,1199,982,1128,2601,2519,46,58,82,107,904,813,33,28,5,2,2017-11-30
38,38,1214,1182,649,599,667,968,909,1068,2986,2768,41,54,111,152,892,857,58,45,3,1,2017-11-30
39,39,4306,4027,2043,1906,2160,3143,2855,3155,8196,7799,109,134,455,612,3073,2994,254,160,15,3,2017-11-30
40,40,1654,1529,884,836,667,1154,1083,1303,3782,3783,69,68,246,310,1789,1750,142,88,17,12,2017-11-30
41,41,2181,2117,1236,1145,1153,1804,1501,1680,4533,4297,59,72,255,305,2033,1935,129,100,10,11,2017-11-30
42,42,1336,1222,763,721,564,821,837,985,2609,2766,53,55,183,244,1782,1784,111,73,10,0,2017-11-30
43,43,1118,1089,634,567,575,903,774,937,2545,2514,35,43,119,164,1431,1460,120,59,13,4,2017-11-30
44,44,1960,1851,548,540,1158,1363,922,911,1860,1814,80,86,106,155,1371,1427,356,235,114,38,2017-11-30
45,45,834,821,254,267,679,757,424,391,868,917,42,37,50,57,515,501,52,38,3,0,2017-11-30
46,46,2128,1997,423,401,1157,1376,1026,1084,2380,2435,123,132,81,104,1313,1279,137,108,11,6,2017-11-30
47,47,1623,1547,486,485,997,1256,890,995,2181,2261,74,78,154,197,1571,1533,153,111,20,6,2017-11-30
48,48,1853,1737,489,453,1027,1279,911,1005,2216,2059,71,91,69,125,1161,1106,72,67,9,3,2017-11-30
49,49,2151,1973,500,447,932,1107,860,901,2324,2528,147,179,148,205,2436,2271,248,192,28,18,2017-11-30
50,50,2313,2117,569,523,1492,1813,1152,1269,2591,2346,127,117,106,99,1148,1139,115,94,8,3,2017-11-30
51,51,2761,2587,387,403,1463,1957,1404,1473,3477,3272,54,63,89,104,657,654,50,32,1,2,2017-11-30
