id_agama,id_kelurahan,islam_lk,kristen_lk,katholik_lk,budha_lk,hindu_lk,konghucu_lk,islam_pr,kristen_pr,katholik_pr,budha_pr,hindu_pr,konghucu_pr,update,1
1,1,4713,4442,202,189,80,71,4,2,18,17,0,0,2017-11-30,
2,2,12106,12016,1578,1700,834,868,121,111,57,55,2,1,2017-11-30,
3,3,12105,12201,990,1106,281,300,49,58,34,28,0,0,2017-11-30,
4,4,4305,4219,120,123,110,103,17,17,3,3,0,0,2017-11-30,
5,5,6486,6331,248,265,212,240,30,30,21,13,0,0,2017-11-30,
6,6,7702,7682,520,611,375,397,24,26,34,39,0,0,2017-11-30,
7,7,4864,4843,489,530,376,408,87,81,28,17,1,7,2017-11-30,
8,8,10156,10152,710,795,468,515,81,74,30,29,0,0,2017-11-30,
9,9,7488,7481,783,831,382,387,76,87,35,38,0,0,2017-11-30,
10,10,9816,9683,1262,1371,626,698,83,80,59,50,5,4,2017-11-30,
11,11,5630,5631,646,684,479,537,58,60,37,29,2,2,2017-11-30,
12,12,6722,6604,873,925,548,605,84,89,28,23,2,3,2017-11-30,
13,13,7896,8086,896,976,463,458,72,55,46,46,0,0,2017-11-30,
14,14,5185,5180,1592,1642,1172,1207,250,253,36,30,1,4,2017-11-30,
15,15,11065,11079,1114,1200,494,506,33,36,67,49,2,1,2017-11-30,
16,16,19934,20551,691,766,430,453,39,43,25,28,4,2,2017-11-30,
17,17,10164,10191,583,647,331,350,59,71,28,27,0,0,2017-11-30,
18,18,5899,6013,330,371,145,154,40,29,6,3,0,0,2017-11-30,
19,19,19442,19614,1973,2130,794,897,92,86,53,42,0,0,2017-11-30,
20,20,6549,6626,892,931,511,679,89,97,22,21,2,0,2017-11-30,
21,21,13149,13192,843,955,324,363,29,25,45,33,3,9,2017-11-30,
22,22,8492,8416,759,855,198,195,55,61,18,13,0,0,2017-11-30,
23,23,6733,6690,1159,1435,601,705,188,219,32,34,4,6,2017-11-30,
24,24,11100,10992,953,1120,312,310,135,143,12,7,6,7,2017-11-30,
25,25,6632,6476,830,941,667,744,145,173,14,11,4,3,2017-11-30,
26,26,12181,12124,1350,1455,375,396,208,211,18,20,1,4,2017-11-30,
27,27,14832,15008,2792,3030,1071,1242,455,485,52,44,5,3,2017-11-30,
28,28,7478,7326,1790,1905,588,702,392,393,31,27,4,2,2017-11-30,
29,29,19099,19055,1659,1711,223,260,18,20,37,31,0,0,2017-11-30,
30,30,21801,21775,1625,1815,342,304,25,26,32,30,0,0,2017-11-30,
31,31,11122,11387,1049,1164,301,333,81,92,21,18,2,2,2017-11-30,
32,32,16575,16658,1748,1851,773,838,133,135,84,81,1,1,2017-11-30,
33,33,5728,5644,548,625,221,226,126,129,15,9,2,1,2017-11-30,
34,34,3009,3141,709,798,177,197,218,245,10,9,0,0,2017-11-30,
35,35,7071,6989,952,1043,321,376,328,369,3,3,4,9,2017-11-30,
36,36,2206,2182,827,916,387,483,305,300,6,4,3,2,2017-11-30,
37,37,5203,5192,1258,1382,508,536,420,490,54,54,8,6,2017-11-30,
38,38,6376,6409,770,878,272,282,88,98,23,28,0,0,2017-11-30,
39,39,19688,20054,2347,2376,1022,1084,334,342,84,89,7,6,2017-11-30,
40,40,8675,9019,1253,1350,323,367,53,65,30,33,2,4,2017-11-30,
41,41,11309,11422,1112,1306,510,572,103,119,58,54,2,0,2017-11-30,
42,42,5711,5868,1396,1508,914,1059,188,200,43,37,5,7,2017-11-30,
43,43,5311,5460,1169,1285,742,849,124,133,26,18,0,0,2017-11-30,
44,44,7243,7140,731,763,365,384,82,89,53,45,1,0,2017-11-30,
45,45,2976,2999,418,432,205,236,118,109,20,20,0,0,2017-11-30,
46,46,6715,6676,1030,1175,841,894,164,151,44,38,2,3,2017-11-30,
47,47,5903,5945,1168,1334,885,995,173,179,29,20,0,0,2017-11-30,
48,48,6692,6679,659,693,385,400,99,109,55,53,3,3,2017-11-30,
49,49,7348,7290,1320,1407,822,866,170,153,114,106,1,0,2017-11-30,
50,50,8236,8061,857,936,377,401,87,80,64,42,0,0,2017-11-30,
51,51,8532,8497,1190,1326,502,596,115,126,16,10,2,4,2017-11-30,
52,52,13106,12890,2922,3079,1048,1151,744,719,32,33,8,4,2017-11-30,
53,53,10746,10628,2747,2878,748,855,863,870,51,62,8,9,2017-11-30,
54,54,18044,17960,1627,1771,547,651,182,179,53,53,3,2,2017-11-30,
55,55,7437,7523,1045,1154,319,389,269,253,18,10,7,5,2017-11-30,
56,56,10388,10950,783,870,339,381,52,54,23,23,2,4,2017-11-30,
57,57,19244,18840,1131,1168,249,241,93,68,47,34,8,4,2017-11-30,
58,58,9066,8984,1165,1215,293,314,219,201,35,33,0,0,2017-11-30,
59,59,8868,8734,1552,1758,437,517,585,629,11,16,2,3,2017-11-30,
60,60,6031,5886,1345,1521,333,408,565,562,3,7,34,27,2017-11-30,
61,61,7684,7679,721,750,155,181,429,415,1,6,4,5,2017-11-30,
62,62,11528,11346,242,275,51,81,137,161,1,2,2,0,2017-11-30,
63,63,8815,8561,1064,1164,327,349,255,262,7,7,1,4,2017-11-30,
64,64,3704,3680,1019,1110,274,302,565,602,12,9,3,7,2017-11-30,
65,65,3884,4010,294,309,88,111,304,285,1,0,5,7,2017-11-30,
66,66,8271,8235,713,745,214,250,251,256,8,7,4,2,2017-11-30,
67,67,7681,7433,242,258,55,71,56,44,8,5,0,0,2017-11-30,
68,68,13826,13517,824,834,218,228,43,35,49,33,0,0,2017-11-30,
69,69,1835,1840,806,920,286,324,504,519,10,11,12,5,2017-11-30,
70,70,6165,6115,691,797,248,328,220,221,36,19,8,6,2017-11-30,
71,71,14184,14030,588,569,212,191,88,102,8,4,0,0,2017-11-30,
72,72,12937,12871,458,481,151,140,86,98,8,9,1,1,2017-11-30,
73,73,12069,12163,1042,1163,395,431,65,78,20,12,0,0,2017-11-30,
74,74,3155,3199,817,862,483,488,281,298,9,9,0,0,2017-11-30,
75,75,6701,6510,566,650,246,254,106,98,3,2,3,1,2017-11-30,
76,76,4604,4670,317,322,73,87,22,17,3,6,0,0,2017-11-30,
77,77,16398,16839,1970,2099,640,661,69,67,43,52,0,0,2017-11-30,
78,78,4539,4417,143,158,39,43,10,11,0,0,0,0,2017-11-30,
79,79,5374,5241,305,346,65,88,2,5,9,5,0,0,2017-11-30,
80,80,5468,5398,1097,1201,566,623,384,410,18,13,0,0,2017-11-30,
81,81,8704,8750,541,616,239,249,102,104,15,12,0,0,2017-11-30,
82,82,6412,6543,1525,1527,385,413,61,67,85,83,0,0,2017-11-30,
83,83,12106,11923,368,420,71,68,20,19,19,15,0,0,2017-11-30,
84,84,22759,22375,612,649,139,154,30,27,65,65,0,0,2017-11-30,
85,85,10316,10544,33,27,13,8,33,39,0,0,3,4,2017-11-30,
86,86,16669,16364,309,299,73,68,21,21,11,13,0,0,2017-11-30,
87,87,36368,35545,610,565,166,178,21,23,25,26,0,0,2017-11-30,
88,88,17573,17335,328,311,86,84,6,6,50,53,0,0,2017-11-30,
89,89,17026,16757,378,436,107,112,20,16,24,19,1,1,2017-11-30,
90,90,27130,26549,990,1084,261,281,100,110,46,49,5,3,2017-11-30,
91,91,28812,28374,1187,1126,299,334,69,69,56,53,1,1,2017-11-30,
92,92,16675,15999,243,245,81,79,3,0,79,69,0,0,2017-11-30,
93,93,7889,7815,134,117,47,37,2,2,5,5,0,0,2017-11-30,
94,94,4034,4031,238,274,77,84,7,5,7,6,0,0,2017-11-30,
95,95,3669,3595,295,260,152,199,62,59,2,2,0,0,2017-11-30,
96,96,3709,3592,251,249,122,147,52,47,0,2,0,0,2017-11-30,
97,97,6542,6392,1151,1218,596,632,183,173,24,19,0,0,2017-11-30,
98,98,4333,4281,681,739,399,425,188,198,26,22,1,0,2017-11-30,
99,99,2345,2232,192,192,64,58,23,32,4,2,1,3,2017-11-30,
100,100,10136,9965,772,803,187,222,10,17,14,15,1,0,2017-11-30,
101,101,16844,16745,668,756,242,233,38,33,29,31,1,1,2017-11-30,
102,102,1876,1888,2,1,0,0,2,1,0,0,0,0,2017-11-30,
103,103,1272,1179,1,2,0,0,0,0,2,3,0,0,2017-11-30,
104,104,7056,6921,1337,1376,542,604,261,265,30,28,2,2,2017-11-30,
105,105,4769,4712,547,574,242,285,101,80,7,8,2,1,2017-11-30,
106,106,9670,9583,2585,2574,1416,1432,458,420,160,147,5,3,2017-11-30,
107,107,6039,5779,484,493,222,247,1,2,31,28,0,0,2017-11-30,
108,108,5942,5808,1046,1145,436,464,213,220,14,16,1,1,2017-11-30,
109,109,5808,5865,1361,1412,684,692,236,247,27,22,2,1,2017-11-30,
110,110,6547,6445,636,649,279,307,63,76,48,38,0,0,2017-11-30,
111,111,4198,4208,1976,2050,990,1105,570,515,22,20,4,4,2017-11-30,
112,112,7157,7212,544,586,305,326,27,27,67,70,0,0,2017-11-30,
113,113,3900,4073,628,715,217,201,5,9,46,46,0,0,2017-11-30,
114,114,4100,3932,210,219,116,103,13,10,22,16,0,0,2017-11-30,
115,115,4994,5003,547,613,456,461,58,51,50,49,0,0,2017-11-30,
116,116,4974,4937,262,275,185,173,10,12,10,11,0,0,2017-11-30,
117,117,7480,7460,301,382,254,262,13,8,25,27,0,0,2017-11-30,
118,118,5177,5118,255,259,114,107,3,2,15,13,0,0,2017-11-30,
119,119,6498,6407,218,223,144,135,5,5,18,28,0,0,2017-11-30,
120,120,7027,6991,1458,1503,859,958,143,143,25,29,1,0,2017-11-30,
121,121,6707,6584,521,585,383,391,55,47,11,13,2,1,2017-11-30,
122,122,4596,4687,469,520,390,437,58,54,16,14,0,0,2017-11-30,
123,123,5347,5316,722,741,421,489,146,127,20,18,0,0,2017-11-30,
124,124,8891,8905,864,871,491,524,60,78,61,56,3,0,2017-11-30,
125,125,5024,4860,954,1008,620,638,135,143,37,36,0,0,2017-11-30,
126,126,6234,6224,395,453,201,241,15,17,49,44,0,0,2017-11-30,
127,127,3178,3133,997,1054,454,467,72,91,41,37,1,0,2017-11-30,
128,128,5592,5534,1782,1963,1052,1151,532,526,57,60,3,3,2017-11-30,
129,129,6424,6315,1337,1416,705,809,309,329,43,38,0,0,2017-11-30,
130,130,2614,2638,459,466,316,298,161,132,8,8,2,0,2017-11-30,
131,131,3755,3761,2178,2287,1144,1213,462,510,25,20,9,9,2017-11-30,
132,132,3988,4010,2306,2430,1074,1245,708,722,33,27,8,9,2017-11-30,
133,133,5213,5190,1020,1024,408,447,208,201,24,15,1,0,2017-11-30,
134,134,4525,4439,687,684,287,258,161,167,14,11,0,0,2017-11-30,
135,135,3306,3257,1422,1677,810,861,529,521,7,5,1,2,2017-11-30,
136,136,1739,1726,1255,1350,749,873,407,402,16,15,4,2,2017-11-30,
137,137,2917,2934,395,435,90,90,53,58,5,3,3,3,2017-11-30,
138,138,10669,10680,929,999,257,294,70,73,31,33,0,0,2017-11-30,
139,139,19376,19079,1147,1190,298,273,75,51,40,44,1,4,2017-11-30,
140,140,16059,15473,488,473,148,169,28,23,19,12,0,1,2017-11-30,
141,141,3999,3824,70,84,11,9,8,5,2,3,0,0,2017-11-30,
142,142,3624,3474,17,18,2,2,13,10,6,3,1,3,2017-11-30,
143,143,3053,2970,9,20,4,7,0,0,2,3,0,0,2017-11-30,
144,144,2502,2413,531,604,241,244,174,152,6,3,2,0,2017-11-30,
145,145,9502,9388,495,522,126,138,115,137,37,36,1,1,2017-11-30,
146,146,4864,4876,346,409,174,175,4,2,109,111,0,0,2017-11-30,
147,147,4488,4377,108,108,41,41,8,9,5,5,0,0,2017-11-30,
148,148,9837,9607,1436,1421,477,520,72,84,38,36,3,3,2017-11-30,
149,149,5528,5295,117,130,36,35,4,5,4,2,0,0,2017-11-30,
150,150,5479,5333,42,49,13,13,2,1,7,11,0,0,2017-11-30,
151,151,8082,7987,1267,1446,713,780,172,193,8,8,2,3,2017-11-30,
152,152,3640,3472,403,455,297,292,91,105,15,13,0,0,2017-11-30,
153,153,2536,2499,55,69,21,19,0,1,4,4,0,0,2017-11-30,
154,154,10960,10777,2268,2231,976,1057,359,322,48,43,0,1,2017-11-30,
155,1,4714,4443,203,190,81,72,5,3,19,18,1,1,2017-12-30,
156,2,12107,12017,1579,1701,835,869,122,112,58,56,3,2,2017-12-30,
157,3,12106,12202,991,1107,282,301,50,59,35,29,1,1,2017-12-30,
158,4,4306,4220,121,124,111,104,18,18,4,4,1,1,2017-12-30,
159,5,6487,6332,249,266,213,241,31,31,22,14,1,1,2017-12-30,
160,6,7703,7683,521,612,376,398,25,27,35,40,1,1,2017-12-30,
161,7,4865,4844,490,531,377,409,88,82,29,18,2,8,2017-12-30,
162,8,10157,10153,711,796,469,516,82,75,31,30,1,1,2017-12-30,
163,9,7489,7482,784,832,383,388,77,88,36,39,1,1,2017-12-30,
164,10,9817,9684,1263,1372,627,699,84,81,60,51,6,5,2017-12-30,
165,11,5631,5632,647,685,480,538,59,61,38,30,3,3,2017-12-30,
166,12,6723,6605,874,926,549,606,85,90,29,24,3,4,2017-12-30,
167,13,7897,8087,897,977,464,459,73,56,47,47,1,1,2017-12-30,
