id_dokumen,id_kelurahan,kk,ktp_L,lahir_P,nikah_L ,cerai_P ,mati_L,ktp_P,lahir_L,nikah_P,cerai_L,mati_P,update
1,1,2944,3251,3113,1700,1591,2043,1924,20,21,0,0,2017-11-30
2,2,9205,9980,10383,4976,4813,6069,6100,53,128,0,0,2017-11-30
3,3,8403,9069,9469,4647,4648,5236,5106,72,105,0,0,2017-11-30
4,4,2733,3028,2993,1976,1867,1518,1506,9,19,0,0,2017-11-30
5,5,4040,4544,4611,3764,3561,2675,2536,44,80,0,0,2017-11-30
6,6,5248,5757,5993,4866,4783,3423,3224,89,109,0,0,2017-11-30
7,7,3610,3961,4183,2674,2647,2509,2387,59,88,0,0,2017-11-30
8,8,6900,7633,7958,6002,6059,4578,4459,99,167,0,0,2017-11-30
9,9,5358,5878,6017,4073,4010,3704,3582,80,122,0,0,2017-11-30
10,10,7437,8000,8323,5672,5497,5205,5166,128,186,0,0,2017-11-30
11,11,4275,4663,4952,3670,3614,3118,3087,75,123,0,0,2017-11-30
12,12,5055,5604,5849,3844,3715,4081,4022,79,120,0,0,2017-11-30
13,13,5750,6276,6664,3802,3761,4068,4155,91,173,0,0,2017-11-30
14,14,5003,5367,5664,4118,4011,3776,3809,71,135,0,0,2017-11-30
15,15,7618,8341,8534,5828,5668,5680,5628,124,201,0,0,2017-11-30
16,16,13062,13261,14111,7721,7597,10832,11179,286,414,0,0,2017-11-30
17,17,6848,7051,7385,4065,3852,5982,5999,141,218,0,0,2017-11-30
18,18,4028,4089,4286,2862,2816,3120,3166,87,138,0,0,2017-11-30
19,19,14020,14076,15065,8586,8218,10351,10591,269,399,0,0,2017-11-30
20,20,5361,5233,5798,3647,3755,3719,3933,115,157,0,0,2017-11-30
21,21,8957,9254,9715,5898,5719,7322,7262,194,278,0,0,2017-11-30
22,22,5941,6227,6391,3708,3451,3452,3450,93,126,0,0,2017-11-30
23,23,5680,5932,6444,2841,2776,2932,2976,99,144,0,0,2017-11-30
24,24,8042,8348,8733,4910,4635,4344,4374,137,173,0,0,2017-11-30
