id_usia,id_kelurahan,usia_0_5_l,usia_0_5_p,usia_18_25_l,usia_18_25_p,usia_6_9_l,usia_6_9_p,usia_26_40_l,usia_26_40_p,usia_10_16_l,usia_10_16_p,usia_41_59_l,usia_41_59_p,usia_17_l,usia_17_p,usia_60_l,usia_60_p,update,
1,1,369,370,659,590,333,277,1177,1129,619,540,1411,1287,90,97,359,431,2017-11-30,1
2,2,1116,1046,1864,1757,845,763,3542,3621,1669,1512,3937,4332,249,211,1476,1509,2017-11-30,
3,3,1152,1064,1580,1645,837,762,3319,3427,1488,1455,3460,3768,214,202,1410,1370,2017-11-30,
4,4,422,380,545,551,295,297,1241,1197,480,468,1119,1159,86,73,367,340,2017-11-30,
5,5,629,596,844,789,490,420,1719,1781,800,692,1702,1750,117,113,696,738,2017-11-30,
6,6,698,612,1006,973,534,507,2143,2231,871,867,2285,2348,135,126,985,1091,2017-11-30,
7,7,396,373,698,644,344,291,1324,1356,611,560,1686,1779,109,105,677,778,2017-11-30,
8,8,835,822,1295,1292,668,607,2720,2867,1233,1081,3108,3234,191,181,1395,1481,2017-11-30,
9,9,742,659,1039,945,546,516,2187,2240,935,921,2265,2455,164,145,886,943,2017-11-30,
10,10,973,909,1396,1310,753,660,2909,2960,1254,1113,3095,3301,186,164,1285,1469,2017-11-30,
11,11,608,535,755,759,445,402,1791,1857,688,590,1692,1911,95,120,778,769,2017-11-30,
12,12,680,604,1020,988,488,422,2045,2137,859,763,2195,2349,140,140,830,846,2017-11-30,
13,13,774,789,1150,1097,599,538,2361,2530,1037,976,2420,2647,156,160,876,884,2017-11-30,
14,14,767,689,995,950,515,478,1964,2107,1012,905,2210,2310,176,171,597,706,2017-11-30,
15,15,1170,1109,1471,1374,937,865,3133,3408,1454,1458,3421,3493,230,217,959,947,2017-11-30,
16,16,1611,1616,2521,2557,1345,1210,4876,5076,2395,2332,6101,6226,368,331,1906,2495,2017-11-30,
17,17,812,762,1338,1296,685,662,2388,2522,1335,1157,3268,3317,206,154,1133,1416,2017-11-30,
18,18,490,481,786,797,383,366,1608,1573,713,691,1696,1801,96,94,648,767,2017-11-30,
19,19,1620,1548,2656,2552,1374,1267,4934,5190,2707,2322,6408,6551,423,389,2232,2950,2017-11-30,
20,20,573,513,945,968,437,391,1771,1844,845,709,2380,2550,141,120,973,1259,2017-11-30,
21,21,941,916,1881,1736,845,733,3168,3294,1607,1533,4258,4356,268,252,1425,1757,2017-11-30,
22,22,816,754,1124,1106,644,542,2315,2285,1035,1008,2486,2607,187,154,922,1087,2017-11-30,
23,23,598,561,976,954,482,447,2035,2107,870,760,2454,2637,108,118,1194,1505,2017-11-30,
24,24,894,855,1451,1409,767,685,2990,2938,1336,1175,3440,3635,225,166,1415,1716,2017-11-30,
25,25,515,520,983,904,480,419,1932,1867,849,788,2386,2475,146,124,1002,1251,2017-11-30,
26,26,1108,1003,1746,1637,862,821,3377,3427,1600,1383,3772,3914,239,204,1431,1825,2017-11-30,
27,27,1437,1317,2253,2108,1093,1011,4437,4530,2056,1960,5451,5739,317,299,2166,2850,2017-11-30,
28,28,712,679,1198,1065,627,531,2433,2429,1042,910,2807,2952,161,152,1303,1637,2017-11-30,
29,29,1693,1639,2417,2332,1493,1255,4994,5013,2427,2381,5614,5715,330,313,2069,2429,2017-11-30,
30,30,1989,1935,2863,2780,1601,1549,5856,5826,2910,2676,6058,6209,436,419,2112,2556,2017-11-30,
31,31,982,941,1452,1489,820,757,2930,2949,1470,1363,3460,3668,223,230,1240,1599,2017-11-30,
32,32,1461,1372,2185,2098,1213,1116,4504,4651,2205,1953,5284,5514,324,305,2138,2555,2017-11-30,
33,33,504,442,779,686,405,381,1589,1568,719,709,1734,1812,105,94,805,942,2017-11-30,
34,34,267,283,535,501,217,207,965,936,425,447,1102,1233,86,55,526,728,2017-11-30,
35,35,664,631,1052,1034,530,517,2108,2071,969,849,2209,2318,140,127,1007,1242,2017-11-30,
36,36,253,236,436,402,196,163,825,865,356,321,1020,1054,65,58,583,788,2017-11-30,
37,37,560,511,890,809,399,406,1714,1689,770,718,1963,2045,130,99,1027,1386,2017-11-30,
38,38,506,557,942,834,435,390,1733,1702,819,718,2181,2299,126,111,789,1084,2017-11-30,
39,39,1983,1796,2729,2643,1514,1359,5498,5681,2557,2403,6234,6609,415,381,2556,3080,2017-11-30,
40,40,755,641,1225,1157,563,562,2163,2312,1094,994,3178,3363,171,164,1187,1645,2017-11-30,
41,41,1021,934,1547,1474,811,750,2925,3001,1505,1360,3701,3909,212,222,1372,1823,2017-11-30,
42,42,586,505,910,881,521,431,1735,1880,893,845,2435,2542,131,124,1046,1472,2017-11-30,
43,43,480,470,843,826,426,372,1618,1694,764,708,2104,2236,135,128,1002,1312,2017-11-30,
44,44,804,725,1061,1021,527,541,2111,2201,978,899,2129,2141,134,133,732,760,2017-11-30,
45,45,336,311,447,429,256,207,967,1001,362,376,916,983,57,60,396,429,2017-11-30,
46,46,725,691,999,986,533,511,2205,2329,932,856,2255,2412,164,122,983,1030,2017-11-30,
47,47,588,551,884,884,453,446,2004,2090,841,798,2182,2323,113,111,1093,1270,2017-11-30,
48,48,671,623,860,812,562,495,2102,2156,837,809,1979,2121,115,121,767,800,2017-11-30,
49,49,799,735,1101,1089,601,501,2456,2541,958,892,2510,2712,181,135,1170,1218,2017-11-30,
50,50,841,813,1150,1098,654,598,2450,2493,1119,977,2385,2510,161,169,861,862,2017-11-30,
51,51,716,705,1224,1133,628,535,2456,2385,1097,1005,2862,3067,177,161,1197,1568,2017-11-30,
52,52,1449,1237,1949,1956,1155,959,4180,4265,2038,1740,4787,4991,305,268,1998,2460,2017-11-30,
53,53,1264,1127,1737,1695,962,904,3747,3813,1670,1488,3912,4135,247,236,1625,1906,2017-11-30,
54,54,1704,1678,2457,2307,1373,1209,4976,4960,2304,2023,5211,5601,339,313,2094,2525,2017-11-30,
55,55,651,643,1058,978,533,483,2142,2191,1030,937,2455,2565,132,138,1094,1400,2017-11-30,
56,56,790,851,1337,1376,711,614,2690,2807,1252,1175,3288,3498,186,203,1333,1758,2017-11-30,
57,57,1851,1659,2591,2469,1410,1299,5562,5387,2282,2121,4812,5168,331,292,1937,1963,2017-11-30,
58,58,960,878,1385,1338,680,638,2582,2691,1212,1189,2973,3044,213,173,774,799,2017-11-30,
59,59,841,769,1332,1316,691,618,2674,2711,1317,1074,3055,3174,200,164,1345,1831,2017-11-30,
60,60,655,607,1006,915,482,461,1980,1971,871,842,2142,2189,138,116,1037,1310,2017-11-30,
61,61,738,662,1089,1032,560,520,2197,1995,998,936,2225,2414,163,121,1024,1356,2017-11-30,
62,62,1058,924,1553,1518,803,709,2829,2800,1296,1161,2941,3031,242,166,1239,1556,2017-11-30,
63,63,856,703,1242,1210,624,585,2467,2329,1103,1070,2817,2894,173,160,1188,1398,2017-11-30,
64,64,403,324,623,614,321,312,1357,1326,601,531,1400,1498,94,81,779,1024,2017-11-30,
65,65,332,325,579,567,263,236,1086,1092,477,475,1164,1159,68,65,608,803,2017-11-30,
66,66,687,683,1164,1146,595,551,2223,2137,1045,927,2504,2621,131,120,1112,1310,2017-11-30,
67,67,632,553,1018,966,469,444,2009,1857,889,734,2052,2080,117,113,856,1064,2017-11-30,
68,68,1008,911,1805,1632,893,906,3594,3591,1676,1487,4033,3984,256,230,1695,1906,2017-11-30,
69,69,235,204,440,380,171,169,754,787,367,312,897,965,59,53,530,749,2017-11-30,
70,70,546,532,921,898,423,377,1747,1730,847,731,1971,2085,142,134,771,999,2017-11-30,
71,71,1188,1138,1834,1794,988,885,3556,3580,1689,1588,4148,4048,255,249,1423,1614,2017-11-30,
72,72,1072,1053,1720,1663,853,773,3264,3232,1579,1440,3593,3629,269,237,1294,1573,2017-11-30,
73,73,1053,961,1615,1574,858,826,3056,3212,1600,1434,3821,3939,237,188,1352,1714,2017-11-30,
74,74,364,383,574,537,311,263,1267,1234,452,463,1158,1302,63,59,558,620,2017-11-30,
75,75,671,602,942,946,502,433,2005,1957,862,790,1868,1955,108,109,667,723,2017-11-30,
76,76,475,425,567,517,348,372,1308,1357,592,556,1144,1221,88,59,497,595,2017-11-30,
77,77,1540,1528,1946,1957,1330,1131,4721,4900,2213,2008,4887,5218,297,270,2187,2706,2017-11-30,
78,78,431,386,582,539,317,280,1227,1208,514,497,1180,1193,88,72,396,458,2017-11-30,
79,79,516,470,610,585,417,377,1442,1444,643,552,1407,1495,89,81,631,681,2017-11-30,
80,80,601,538,917,898,461,420,1738,1758,832,775,1978,2028,125,119,881,1109,2017-11-30,
81,81,725,711,1143,1118,589,588,2301,2284,1073,962,2543,2610,157,145,1071,1313,2017-11-30,
82,82,568,525,984,887,424,440,1818,1860,907,841,2586,2640,150,137,1031,1303,2017-11-30,
83,83,938,912,1512,1472,831,735,2989,3003,1394,1211,3373,3363,237,183,1311,1566,2017-11-30,
84,84,2024,1827,3094,3013,1573,1442,5806,5824,2634,2453,5927,6084,410,368,2139,2260,2017-11-30,
85,85,868,752,1304,1185,688,634,2381,2402,1123,1020,2704,2881,172,161,1158,1587,2017-11-30,
86,86,1398,1281,2264,2059,1059,1059,4240,4206,1950,1832,4237,4139,329,262,1606,1927,2017-11-30,
87,87,3294,3037,4694,4665,2635,2398,9585,9348,4400,4011,8611,8684,638,577,3333,3617,2017-11-30,
88,88,1580,1455,2374,2299,1306,1134,4475,4489,2183,2000,4220,4300,320,263,1586,1849,2017-11-30,
89,89,1387,1279,2319,2263,1103,1042,4242,4136,1999,1818,4417,4468,324,279,1765,2056,2017-11-30,
90,90,2599,2484,3638,3639,2025,1844,7265,7327,3404,3155,7061,7097,469,439,2074,2094,2017-11-30,
91,91,2728,2555,3945,4038,2153,1953,7918,7747,3545,3376,7123,7338,572,482,2443,2473,2017-11-30,
92,92,1493,1429,2486,2416,1245,1111,4211,4313,2261,1959,4048,3907,308,292,1029,965,2017-11-30,
93,93,793,739,1140,1114,592,533,1922,2058,1063,1013,1973,1912,151,181,443,426,2017-11-30,
94,94,349,363,526,541,274,253,1141,1116,482,463,1148,1199,98,72,345,394,2017-11-30,
95,95,361,362,538,531,284,277,1045,1044,507,444,1053,1036,72,76,331,355,2017-11-30,
96,96,363,383,522,437,294,256,980,1033,515,492,1060,1007,63,57,337,372,2017-11-30,
97,97,738,640,936,934,631,518,1923,2135,1108,960,2287,2255,148,149,728,843,2017-11-30,
98,98,533,502,666,723,377,308,1427,1494,599,580,1479,1468,99,92,449,498,2017-11-30,
99,99,239,224,292,319,180,138,747,704,294,258,614,619,46,39,217,218,2017-11-30,
100,100,1015,928,1518,1452,718,651,2673,2760,1274,1219,2894,3092,184,169,844,751,2017-11-30,
101,101,1612,1520,2165,2154,1293,1261,4266,4623,2302,2129,4684,4549,308,312,1198,1258,2017-11-30,
102,102,166,164,225,245,121,131,478,439,212,194,501,526,30,28,147,163,2017-11-30,
103,103,113,98,164,134,84,74,319,311,159,136,320,315,19,18,97,98,2017-11-30,
104,104,749,689,1178,1109,563,557,2214,2301,1029,965,2460,2513,164,163,871,899,2017-11-30,
105,105,482,425,715,672,389,322,1367,1416,615,606,1529,1616,108,91,463,512,2017-11-30,
106,106,1184,1081,1736,1769,904,724,3287,3501,1681,1464,3935,4064,282,211,1289,1349,2017-11-30,
107,107,611,590,791,732,446,382,1754,1791,756,664,1702,1760,120,86,598,544,2017-11-30,
108,108,690,608,842,884,507,437,2068,2071,800,738,1830,2002,122,124,793,790,2017-11-30,
109,109,604,567,892,842,474,450,1987,2060,905,773,2143,2237,138,118,975,1192,2017-11-30,
110,110,597,546,849,791,478,471,1839,1897,907,832,2062,2045,136,109,705,824,2017-11-30,
111,111,666,570,873,938,442,427,2065,2125,789,714,1862,1992,124,104,943,1037,2017-11-30,
112,112,623,532,947,923,434,435,1736,1931,863,762,2399,2429,136,133,962,1077,2017-11-30,
113,113,373,355,534,589,249,244,1205,1194,436,454,1344,1472,77,79,578,657,2017-11-30,
114,114,394,321,474,457,297,235,1083,1131,533,463,1168,1161,74,60,438,452,2017-11-30,
115,115,455,451,711,686,383,345,1440,1509,679,619,1622,1723,108,93,708,751,2017-11-30,
116,116,497,466,574,601,383,339,1347,1415,604,556,1435,1451,93,84,508,496,2017-11-30,
117,117,724,624,872,908,503,491,1926,2014,888,783,2149,2273,130,133,881,913,2017-11-30,
118,118,468,470,650,625,364,336,1399,1401,624,586,1425,1505,86,60,548,516,2017-11-30,
119,119,633,553,828,766,435,390,1785,1741,763,734,1716,1856,81,112,642,646,2017-11-30,
120,120,787,716,1017,1081,578,520,2513,2520,975,829,2400,2660,126,129,1117,1169,2017-11-30,
121,121,623,549,865,867,491,428,2016,1998,793,722,2036,2146,96,121,759,791,2017-11-30,
122,122,459,426,593,647,355,300,1381,1503,628,584,1458,1485,97,85,558,682,2017-11-30,
123,123,524,533,770,719,431,406,1705,1789,730,666,1677,1766,132,96,687,716,2017-11-30,
124,124,923,973,1216,1210,769,648,2636,2774,1130,1109,2736,2772,192,158,768,791,2017-11-30,
125,125,560,461,868,845,376,350,1734,1621,748,626,1802,1993,109,123,573,666,2017-11-30,
126,126,625,543,717,744,448,412,1809,1845,714,622,1706,1816,89,93,787,904,2017-11-30,
127,127,452,413,500,512,327,292,1111,1296,614,532,1332,1293,102,88,305,356,2017-11-30,
128,128,729,653,1011,1027,568,485,2295,2400,983,894,2199,2363,149,144,1084,1271,2017-11-30,
129,129,648,611,992,884,547,465,2068,2209,980,819,2321,2491,131,141,1131,1287,2017-11-30,
130,130,372,324,435,438,264,244,863,935,459,412,821,848,60,67,286,274,2017-11-30,
131,131,608,556,870,810,469,420,1874,1997,829,724,1977,2067,139,131,807,1095,2017-11-30,
132,132,633,646,1022,1008,429,429,2092,2094,803,790,2033,2208,130,110,975,1159,2017-11-30,
133,133,569,513,819,818,450,375,1675,1712,817,737,1815,1904,112,124,617,694,2017-11-30,
134,134,454,416,689,674,360,323,1591,1513,623,590,1288,1396,87,88,583,561,2017-11-30,
135,135,488,440,789,720,299,306,1573,1650,588,541,1474,1699,83,99,783,871,2017-11-30,
136,136,310,315,429,365,249,217,1083,1140,352,371,1029,1118,65,56,653,786,2017-11-30,
137,137,287,261,431,394,225,204,890,969,375,394,867,913,57,61,331,327,2017-11-30,
138,138,988,913,1396,1351,779,719,3041,3111,1284,1217,3038,3199,194,189,1236,1380,2017-11-30,
139,139,1806,1717,2389,2410,1413,1316,5601,5526,2490,2208,5022,5343,326,334,1892,1788,2017-11-30,
140,140,1377,1398,2251,2080,1228,1095,4488,4380,2068,1901,3838,3799,287,292,1205,1206,2017-11-30,
141,141,389,330,498,499,310,275,1023,1027,509,478,986,946,66,79,309,291,2017-11-30,
142,142,356,305,431,406,235,205,965,907,419,394,911,897,61,52,285,344,2017-11-30,
143,143,318,288,415,393,229,209,796,746,383,370,687,683,43,47,197,264,2017-11-30,
144,144,325,288,416,410,250,242,873,858,458,399,832,847,68,69,234,303,2017-11-30,
145,145,917,922,1279,1263,690,667,2584,2696,1296,1118,2572,2590,180,179,758,787,2017-11-30,
146,146,407,431,700,632,359,368,1159,1203,675,656,1564,1513,112,79,521,691,2017-11-30,
147,147,447,420,574,589,320,311,1116,1148,573,510,1214,1142,80,78,326,342,2017-11-30,
148,148,945,943,1584,1465,765,717,2698,2837,1509,1346,3329,3284,234,211,799,868,2017-11-30,
149,149,537,459,648,643,400,358,1464,1423,712,679,1394,1346,101,83,433,476,2017-11-30,
150,150,503,488,686,699,432,374,1370,1411,670,615,1361,1364,90,92,431,364,2017-11-30,
151,151,925,902,1155,1163,724,669,2549,2761,1175,1073,2625,2647,166,144,926,1058,2017-11-30,
152,152,402,349,540,576,296,267,1055,1078,501,479,1213,1140,72,61,367,387,2017-11-30,
153,153,220,217,322,336,179,153,588,648,329,307,736,688,51,36,191,207,2017-11-30,
154,154,1259,1177,1699,1631,931,863,3792,3819,1649,1455,3627,3738,237,238,1417,1510,2017-11-30,
155,1,370,371,660,591,334,278,1178,1130,620,541,1412,1288,91,98,360,432,2017-12-30,
156,2,1117,1047,1865,1758,846,764,3543,3622,1670,1513,3938,4333,250,212,1477,1510,2017-12-30,
157,3,1153,1065,1581,1646,838,763,3320,3428,1489,1456,3461,3769,215,203,1411,1371,2017-12-30,
158,4,423,381,546,552,296,298,1242,1198,481,469,1120,1160,87,74,368,341,2017-12-30,
159,5,630,597,845,790,491,421,1720,1782,801,693,1703,1751,118,114,697,739,2017-12-30,
160,6,699,613,1007,974,535,508,2144,2232,872,868,2286,2349,136,127,986,1092,2017-12-30,
161,7,397,374,699,645,345,292,1325,1357,612,561,1687,1780,110,106,678,779,2017-12-30,
162,8,836,823,1296,1293,669,608,2721,2868,1234,1082,3109,3235,192,182,1396,1482,2017-12-30,
163,9,743,660,1040,946,547,517,2188,2241,936,922,2266,2456,165,146,887,944,2017-12-30,
164,10,974,910,1397,1311,754,661,2910,2961,1255,1114,3096,3302,187,165,1286,1470,2017-12-30,
165,11,609,536,756,760,446,403,1792,1858,689,591,1693,1912,96,121,779,770,2017-12-30,
166,12,681,605,1021,989,489,423,2046,2138,860,764,2196,2350,141,141,831,847,2017-12-30,
167,13,775,790,1151,1098,600,539,2362,2531,1038,977,2421,2648,157,161,877,885,2017-12-30,
168,14,768,690,996,951,516,479,1965,2108,1013,906,2211,2311,177,172,598,707,2017-12-30,
169,15,1171,1110,1472,1375,938,866,3134,3409,1455,1459,3422,3494,231,218,960,948,2017-12-30,
170,16,1612,1617,2522,2558,1346,1211,4877,5077,2396,2333,6102,6227,369,332,1907,2496,2017-12-30,
171,17,813,763,1339,1297,686,663,2389,2523,1336,1158,3269,3318,207,155,1134,1417,2017-12-30,
172,18,491,482,787,798,384,367,1609,1574,714,692,1697,1802,97,95,649,768,2017-12-30,
173,19,1621,1549,2657,2553,1375,1268,4935,5191,2708,2323,6409,6552,424,390,2233,2951,2017-12-30,
174,20,574,514,946,969,438,392,1772,1845,846,710,2381,2551,142,121,974,1260,2017-12-30,
175,21,942,917,1882,1737,846,734,3169,3295,1608,1534,4259,4357,269,253,1426,1758,2017-12-30,
176,22,817,755,1125,1107,645,543,2316,2286,1036,1009,2487,2608,188,155,923,1088,2017-12-30,
177,23,599,562,977,955,483,448,2036,2108,871,761,2455,2638,109,119,1195,1506,2017-12-30,
178,24,895,856,1452,1410,768,686,2991,2939,1337,1176,3441,3636,226,167,1416,1717,2017-12-30,
179,25,516,521,984,905,481,420,1933,1868,850,789,2387,2476,147,125,1003,1252,2017-12-30,
180,26,1109,1004,1747,1638,863,822,3378,3428,1601,1384,3773,3915,240,205,1432,1826,2017-12-30,
181,27,1438,1318,2254,2109,1094,1012,4438,4531,2057,1961,5452,5740,318,300,2167,2851,2017-12-30,
182,28,713,680,1199,1066,628,532,2434,2430,1043,911,2808,2953,162,153,1304,1638,2017-12-30,
183,29,1694,1640,2418,2333,1494,1256,4995,5014,2428,2382,5615,5716,331,314,2070,2430,2017-12-30,
184,30,1990,1936,2864,2781,1602,1550,5857,5827,2911,2677,6059,6210,437,420,2113,2557,2017-12-30,
185,31,983,942,1453,1490,821,758,2931,2950,1471,1364,3461,3669,224,231,1241,1600,2017-12-30,
186,32,1462,1373,2186,2099,1214,1117,4505,4652,2206,1954,5285,5515,325,306,2139,2556,2017-12-30,
187,33,505,443,780,687,406,382,1590,1569,720,710,1735,1813,106,95,806,943,2017-12-30,
188,34,268,284,536,502,218,208,966,937,426,448,1103,1234,87,56,527,729,2017-12-30,
189,35,665,632,1053,1035,531,518,2109,2072,970,850,2210,2319,141,128,1008,1243,2017-12-30,
190,36,254,237,437,403,197,164,826,866,357,322,1021,1055,66,59,584,789,2017-12-30,
191,37,561,512,891,810,400,407,1715,1690,771,719,1964,2046,131,100,1028,1387,2017-12-30,
192,38,507,558,943,835,436,391,1734,1703,820,719,2182,2300,127,112,790,1085,2017-12-30,
193,39,1984,1797,2730,2644,1515,1360,5499,5682,2558,2404,6235,6610,416,382,2557,3081,2017-12-30,
194,40,756,642,1226,1158,564,563,2164,2313,1095,995,3179,3364,172,165,1188,1646,2017-12-30,
195,41,1022,935,1548,1475,812,751,2926,3002,1506,1361,3702,3910,213,223,1373,1824,2017-12-30,
196,42,587,506,911,882,522,432,1736,1881,894,846,2436,2543,132,125,1047,1473,2017-12-30,
197,43,481,471,844,827,427,373,1619,1695,765,709,2105,2237,136,129,1003,1313,2017-12-30,
198,44,805,726,1062,1022,528,542,2112,2202,979,900,2130,2142,135,134,733,761,2017-12-30,
199,45,337,312,448,430,257,208,968,1002,363,377,917,984,58,61,397,430,2017-12-30,
200,46,726,692,1000,987,534,512,2206,2330,933,857,2256,2413,165,123,984,1031,2017-12-30,
201,47,589,552,885,885,454,447,2005,2091,842,799,2183,2324,114,112,1094,1271,2017-12-30,
202,48,672,624,861,813,563,496,2103,2157,838,810,1980,2122,116,122,768,801,2017-12-30,
203,49,800,736,1102,1090,602,502,2457,2542,959,893,2511,2713,182,136,1171,1219,2017-12-30,
204,50,842,814,1151,1099,655,599,2451,2494,1120,978,2386,2511,162,170,862,863,2017-12-30,
205,51,717,706,1225,1134,629,536,2457,2386,1098,1006,2863,3068,178,162,1198,1569,2017-12-30,
206,52,1450,1238,1950,1957,1156,960,4181,4266,2039,1741,4788,4992,306,269,1999,2461,2017-12-30,
207,53,1265,1128,1738,1696,963,905,3748,3814,1671,1489,3913,4136,248,237,1626,1907,2017-12-30,
208,54,1705,1679,2458,2308,1374,1210,4977,4961,2305,2024,5212,5602,340,314,2095,2526,2017-12-30,
209,55,652,644,1059,979,534,484,2143,2192,1031,938,2456,2566,133,139,1095,1401,2017-12-30,
210,56,791,852,1338,1377,712,615,2691,2808,1253,1176,3289,3499,187,204,1334,1759,2017-12-30,
211,57,1852,1660,2592,2470,1411,1300,5563,5388,2283,2122,4813,5169,332,293,1938,1964,2017-12-30,
212,58,961,879,1386,1339,681,639,2583,2692,1213,1190,2974,3045,214,174,775,800,2017-12-30,
213,59,842,770,1333,1317,692,619,2675,2712,1318,1075,3056,3175,201,165,1346,1832,2017-12-30,
214,60,656,608,1007,916,483,462,1981,1972,872,843,2143,2190,139,117,1038,1311,2017-12-30,
215,61,739,663,1090,1033,561,521,2198,1996,999,937,2226,2415,164,122,1025,1357,2017-12-30,
216,62,1059,925,1554,1519,804,710,2830,2801,1297,1162,2942,3032,243,167,1240,1557,2017-12-30,
217,63,857,704,1243,1211,625,586,2468,2330,1104,1071,2818,2895,174,161,1189,1399,2017-12-30,
218,64,404,325,624,615,322,313,1358,1327,602,532,1401,1499,95,82,780,1025,2017-12-30,
219,65,333,326,580,568,264,237,1087,1093,478,476,1165,1160,69,66,609,804,2017-12-30,
220,66,688,684,1165,1147,596,552,2224,2138,1046,928,2505,2622,132,121,1113,1311,2017-12-30,
221,67,633,554,1019,967,470,445,2010,1858,890,735,2053,2081,118,114,857,1065,2017-12-30,
222,68,1009,912,1806,1633,894,907,3595,3592,1677,1488,4034,3985,257,231,1696,1907,2017-12-30,
